run_id,batchtimeout,maxbatchsize,numrepliers,readproportion,updateproportion,hotspotdatafraction,hotspotopnfraction,threads
1,-1,1024,16,0.1,0.9,0,0,500
2,-1,1024,16,0.1,0.9,0,0,1000
3,-1,1024,16,0.1,0.9,0,0,1500
4,-1,1024,16,0.1,0.9,0,0,2000
5,-1,1024,16,0.1,0.9,0.2,0.2,500
6,-1,1024,16,0.1,0.9,0.2,0.2,1000
7,-1,1024,16,0.1,0.9,0.2,0.2,1500
8,-1,1024,16,0.1,0.9,0.2,0.2,2000
9,-1,1024,16,0.1,0.9,0.1,0.9,500
10,-1,1024,16,0.1,0.9,0.1,0.9,1000
11,-1,1024,16,0.1,0.9,0.1,0.9,1500
12,-1,1024,16,0.1,0.9,0.1,0.9,2000
13,-1,1024,16,0.5,0.5,0,0,500
14,-1,1024,16,0.5,0.5,0,0,1000
15,-1,1024,16,0.5,0.5,0,0,1500
16,-1,1024,16,0.5,0.5,0,0,2000
17,-1,1024,16,0.5,0.5,0.2,0.2,500
18,-1,1024,16,0.5,0.5,0.2,0.2,1000
19,-1,1024,16,0.5,0.5,0.2,0.2,1500
20,-1,1024,16,0.5,0.5,0.2,0.2,2000
21,-1,1024,16,0.5,0.5,0.1,0.9,500
22,-1,1024,16,0.5,0.5,0.1,0.9,1000
23,-1,1024,16,0.5,0.5,0.1,0.9,1500
24,-1,1024,16,0.5,0.5,0.1,0.9,2000
25,-1,1024,16,0.9,0.1,0,0,500
26,-1,1024,16,0.9,0.1,0,0,1000
27,-1,1024,16,0.9,0.1,0,0,1500
28,-1,1024,16,0.9,0.1,0,0,2000
29,-1,1024,16,0.9,0.1,0.2,0.2,500
30,-1,1024,16,0.9,0.1,0.2,0.2,1000
31,-1,1024,16,0.9,0.1,0.2,0.2,1500
32,-1,1024,16,0.9,0.1,0.2,0.2,2000
33,-1,1024,16,0.9,0.1,0.1,0.9,500
34,-1,1024,16,0.9,0.1,0.1,0.9,1000
35,-1,1024,16,0.9,0.1,0.1,0.9,1500
36,-1,1024,16,0.9,0.1,0.1,0.9,2000
37,-1,2048,16,0.1,0.9,0,0,500
38,-1,2048,16,0.1,0.9,0,0,1000
39,-1,2048,16,0.1,0.9,0,0,1500
40,-1,2048,16,0.1,0.9,0,0,2000
41,-1,2048,16,0.1,0.9,0.2,0.2,500
42,-1,2048,16,0.1,0.9,0.2,0.2,1000
43,-1,2048,16,0.1,0.9,0.2,0.2,1500
44,-1,2048,16,0.1,0.9,0.2,0.2,2000
45,-1,2048,16,0.1,0.9,0.1,0.9,500
46,-1,2048,16,0.1,0.9,0.1,0.9,1000
47,-1,2048,16,0.1,0.9,0.1,0.9,1500
48,-1,2048,16,0.1,0.9,0.1,0.9,2000
49,-1,2048,16,0.5,0.5,0,0,500
50,-1,2048,16,0.5,0.5,0,0,1000
51,-1,2048,16,0.5,0.5,0,0,1500
52,-1,2048,16,0.5,0.5,0,0,2000
53,-1,2048,16,0.5,0.5,0.2,0.2,500
54,-1,2048,16,0.5,0.5,0.2,0.2,1000
55,-1,2048,16,0.5,0.5,0.2,0.2,1500
56,-1,2048,16,0.5,0.5,0.2,0.2,2000
57,-1,2048,16,0.5,0.5,0.1,0.9,500
58,-1,2048,16,0.5,0.5,0.1,0.9,1000
59,-1,2048,16,0.5,0.5,0.1,0.9,1500
60,-1,2048,16,0.5,0.5,0.1,0.9,2000
61,-1,2048,16,0.9,0.1,0,0,500
62,-1,2048,16,0.9,0.1,0,0,1000
63,-1,2048,16,0.9,0.1,0,0,1500
64,-1,2048,16,0.9,0.1,0,0,2000
65,-1,2048,16,0.9,0.1,0.2,0.2,500
66,-1,2048,16,0.9,0.1,0.2,0.2,1000
67,-1,2048,16,0.9,0.1,0.2,0.2,1500
68,-1,2048,16,0.9,0.1,0.2,0.2,2000
69,-1,2048,16,0.9,0.1,0.1,0.9,500
70,-1,2048,16,0.9,0.1,0.1,0.9,1000
71,-1,2048,16,0.9,0.1,0.1,0.9,1500
72,-1,2048,16,0.9,0.1,0.1,0.9,2000
73,-1,3072,16,0.1,0.9,0,0,500
74,-1,3072,16,0.1,0.9,0,0,1000
75,-1,3072,16,0.1,0.9,0,0,1500
76,-1,3072,16,0.1,0.9,0,0,2000
77,-1,3072,16,0.1,0.9,0.2,0.2,500
78,-1,3072,16,0.1,0.9,0.2,0.2,1000
79,-1,3072,16,0.1,0.9,0.2,0.2,1500
80,-1,3072,16,0.1,0.9,0.2,0.2,2000
81,-1,3072,16,0.1,0.9,0.1,0.9,500
82,-1,3072,16,0.1,0.9,0.1,0.9,1000
83,-1,3072,16,0.1,0.9,0.1,0.9,1500
84,-1,3072,16,0.1,0.9,0.1,0.9,2000
85,-1,3072,16,0.5,0.5,0,0,500
86,-1,3072,16,0.5,0.5,0,0,1000
87,-1,3072,16,0.5,0.5,0,0,1500
88,-1,3072,16,0.5,0.5,0,0,2000
89,-1,3072,16,0.5,0.5,0.2,0.2,500
90,-1,3072,16,0.5,0.5,0.2,0.2,1000
91,-1,3072,16,0.5,0.5,0.2,0.2,1500
92,-1,3072,16,0.5,0.5,0.2,0.2,2000
93,-1,3072,16,0.5,0.5,0.1,0.9,500
94,-1,3072,16,0.5,0.5,0.1,0.9,1000
95,-1,3072,16,0.5,0.5,0.1,0.9,1500
96,-1,3072,16,0.5,0.5,0.1,0.9,2000
97,-1,3072,16,0.9,0.1,0,0,500
98,-1,3072,16,0.9,0.1,0,0,1000
99,-1,3072,16,0.9,0.1,0,0,1500
100,-1,3072,16,0.9,0.1,0,0,2000
101,-1,3072,16,0.9,0.1,0.2,0.2,500
102,-1,3072,16,0.9,0.1,0.2,0.2,1000
103,-1,3072,16,0.9,0.1,0.2,0.2,1500
104,-1,3072,16,0.9,0.1,0.2,0.2,2000
105,-1,3072,16,0.9,0.1,0.1,0.9,500
106,-1,3072,16,0.9,0.1,0.1,0.9,1000
107,-1,3072,16,0.9,0.1,0.1,0.9,1500
108,-1,3072,16,0.9,0.1,0.1,0.9,2000
109,-1,4096,16,0.1,0.9,0,0,500
110,-1,4096,16,0.1,0.9,0,0,1000
111,-1,4096,16,0.1,0.9,0,0,1500
112,-1,4096,16,0.1,0.9,0,0,2000
113,-1,4096,16,0.1,0.9,0.2,0.2,500
114,-1,4096,16,0.1,0.9,0.2,0.2,1000
115,-1,4096,16,0.1,0.9,0.2,0.2,1500
116,-1,4096,16,0.1,0.9,0.2,0.2,2000
117,-1,4096,16,0.1,0.9,0.1,0.9,500
118,-1,4096,16,0.1,0.9,0.1,0.9,1000
119,-1,4096,16,0.1,0.9,0.1,0.9,1500
120,-1,4096,16,0.1,0.9,0.1,0.9,2000
121,-1,4096,16,0.5,0.5,0,0,500
122,-1,4096,16,0.5,0.5,0,0,1000
123,-1,4096,16,0.5,0.5,0,0,1500
124,-1,4096,16,0.5,0.5,0,0,2000
125,-1,4096,16,0.5,0.5,0.2,0.2,500
126,-1,4096,16,0.5,0.5,0.2,0.2,1000
127,-1,4096,16,0.5,0.5,0.2,0.2,1500
128,-1,4096,16,0.5,0.5,0.2,0.2,2000
129,-1,4096,16,0.5,0.5,0.1,0.9,500
130,-1,4096,16,0.5,0.5,0.1,0.9,1000
131,-1,4096,16,0.5,0.5,0.1,0.9,1500
132,-1,4096,16,0.5,0.5,0.1,0.9,2000
133,-1,4096,16,0.9,0.1,0,0,500
134,-1,4096,16,0.9,0.1,0,0,1000
135,-1,4096,16,0.9,0.1,0,0,1500
136,-1,4096,16,0.9,0.1,0,0,2000
137,-1,4096,16,0.9,0.1,0.2,0.2,500
138,-1,4096,16,0.9,0.1,0.2,0.2,1000
139,-1,4096,16,0.9,0.1,0.2,0.2,1500
140,-1,4096,16,0.9,0.1,0.2,0.2,2000
141,-1,4096,16,0.9,0.1,0.1,0.9,500
142,-1,4096,16,0.9,0.1,0.1,0.9,1000
143,-1,4096,16,0.9,0.1,0.1,0.9,1500
144,-1,4096,16,0.9,0.1,0.1,0.9,2000
145,0,1024,16,0.1,0.9,0,0,500
146,0,1024,16,0.1,0.9,0,0,1000
147,0,1024,16,0.1,0.9,0,0,1500
148,0,1024,16,0.1,0.9,0,0,2000
149,0,1024,16,0.1,0.9,0.2,0.2,500
150,0,1024,16,0.1,0.9,0.2,0.2,1000
151,0,1024,16,0.1,0.9,0.2,0.2,1500
152,0,1024,16,0.1,0.9,0.2,0.2,2000
153,0,1024,16,0.1,0.9,0.1,0.9,500
154,0,1024,16,0.1,0.9,0.1,0.9,1000
155,0,1024,16,0.1,0.9,0.1,0.9,1500
156,0,1024,16,0.1,0.9,0.1,0.9,2000
157,0,1024,16,0.5,0.5,0,0,500
158,0,1024,16,0.5,0.5,0,0,1000
159,0,1024,16,0.5,0.5,0,0,1500
160,0,1024,16,0.5,0.5,0,0,2000
161,0,1024,16,0.5,0.5,0.2,0.2,500
162,0,1024,16,0.5,0.5,0.2,0.2,1000
163,0,1024,16,0.5,0.5,0.2,0.2,1500
164,0,1024,16,0.5,0.5,0.2,0.2,2000
165,0,1024,16,0.5,0.5,0.1,0.9,500
166,0,1024,16,0.5,0.5,0.1,0.9,1000
167,0,1024,16,0.5,0.5,0.1,0.9,1500
168,0,1024,16,0.5,0.5,0.1,0.9,2000
169,0,1024,16,0.9,0.1,0,0,500
170,0,1024,16,0.9,0.1,0,0,1000
171,0,1024,16,0.9,0.1,0,0,1500
172,0,1024,16,0.9,0.1,0,0,2000
173,0,1024,16,0.9,0.1,0.2,0.2,500
174,0,1024,16,0.9,0.1,0.2,0.2,1000
175,0,1024,16,0.9,0.1,0.2,0.2,1500
176,0,1024,16,0.9,0.1,0.2,0.2,2000
177,0,1024,16,0.9,0.1,0.1,0.9,500
178,0,1024,16,0.9,0.1,0.1,0.9,1000
179,0,1024,16,0.9,0.1,0.1,0.9,1500
180,0,1024,16,0.9,0.1,0.1,0.9,2000
181,0,2048,16,0.1,0.9,0,0,500
182,0,2048,16,0.1,0.9,0,0,1000
183,0,2048,16,0.1,0.9,0,0,1500
184,0,2048,16,0.1,0.9,0,0,2000
185,0,2048,16,0.1,0.9,0.2,0.2,500
186,0,2048,16,0.1,0.9,0.2,0.2,1000
187,0,2048,16,0.1,0.9,0.2,0.2,1500
188,0,2048,16,0.1,0.9,0.2,0.2,2000
189,0,2048,16,0.1,0.9,0.1,0.9,500
190,0,2048,16,0.1,0.9,0.1,0.9,1000
191,0,2048,16,0.1,0.9,0.1,0.9,1500
192,0,2048,16,0.1,0.9,0.1,0.9,2000
193,0,2048,16,0.5,0.5,0,0,500
194,0,2048,16,0.5,0.5,0,0,1000
195,0,2048,16,0.5,0.5,0,0,1500
196,0,2048,16,0.5,0.5,0,0,2000
197,0,2048,16,0.5,0.5,0.2,0.2,500
198,0,2048,16,0.5,0.5,0.2,0.2,1000
199,0,2048,16,0.5,0.5,0.2,0.2,1500
200,0,2048,16,0.5,0.5,0.2,0.2,2000
201,0,2048,16,0.5,0.5,0.1,0.9,500
202,0,2048,16,0.5,0.5,0.1,0.9,1000
203,0,2048,16,0.5,0.5,0.1,0.9,1500
204,0,2048,16,0.5,0.5,0.1,0.9,2000
205,0,2048,16,0.9,0.1,0,0,500
206,0,2048,16,0.9,0.1,0,0,1000
207,0,2048,16,0.9,0.1,0,0,1500
208,0,2048,16,0.9,0.1,0,0,2000
209,0,2048,16,0.9,0.1,0.2,0.2,500
210,0,2048,16,0.9,0.1,0.2,0.2,1000
211,0,2048,16,0.9,0.1,0.2,0.2,1500
212,0,2048,16,0.9,0.1,0.2,0.2,2000
213,0,2048,16,0.9,0.1,0.1,0.9,500
214,0,2048,16,0.9,0.1,0.1,0.9,1000
215,0,2048,16,0.9,0.1,0.1,0.9,1500
216,0,2048,16,0.9,0.1,0.1,0.9,2000
217,0,3072,16,0.1,0.9,0,0,500
218,0,3072,16,0.1,0.9,0,0,1000
219,0,3072,16,0.1,0.9,0,0,1500
220,0,3072,16,0.1,0.9,0,0,2000
221,0,3072,16,0.1,0.9,0.2,0.2,500
222,0,3072,16,0.1,0.9,0.2,0.2,1000
223,0,3072,16,0.1,0.9,0.2,0.2,1500
224,0,3072,16,0.1,0.9,0.2,0.2,2000
225,0,3072,16,0.1,0.9,0.1,0.9,500
226,0,3072,16,0.1,0.9,0.1,0.9,1000
227,0,3072,16,0.1,0.9,0.1,0.9,1500
228,0,3072,16,0.1,0.9,0.1,0.9,2000
229,0,3072,16,0.5,0.5,0,0,500
230,0,3072,16,0.5,0.5,0,0,1000
231,0,3072,16,0.5,0.5,0,0,1500
232,0,3072,16,0.5,0.5,0,0,2000
233,0,3072,16,0.5,0.5,0.2,0.2,500
234,0,3072,16,0.5,0.5,0.2,0.2,1000
235,0,3072,16,0.5,0.5,0.2,0.2,1500
236,0,3072,16,0.5,0.5,0.2,0.2,2000
237,0,3072,16,0.5,0.5,0.1,0.9,500
238,0,3072,16,0.5,0.5,0.1,0.9,1000
239,0,3072,16,0.5,0.5,0.1,0.9,1500
240,0,3072,16,0.5,0.5,0.1,0.9,2000
241,0,3072,16,0.9,0.1,0,0,500
242,0,3072,16,0.9,0.1,0,0,1000
243,0,3072,16,0.9,0.1,0,0,1500
244,0,3072,16,0.9,0.1,0,0,2000
245,0,3072,16,0.9,0.1,0.2,0.2,500
246,0,3072,16,0.9,0.1,0.2,0.2,1000
247,0,3072,16,0.9,0.1,0.2,0.2,1500
248,0,3072,16,0.9,0.1,0.2,0.2,2000
249,0,3072,16,0.9,0.1,0.1,0.9,500
250,0,3072,16,0.9,0.1,0.1,0.9,1000